Voltage (V),Temperature (Â°C),Pressure (hPa),Humidity (%),Fire Alarm
0.41,31.61,1008.81,70.0,1
0.41,31.62,1008.8,70.0,1
0.41,31.63,1008.79,70.0,1
0.41,31.64,1008.79,70.0,1
0.41,31.65,1008.79,70.0,1
0.41,31.65,1008.8,70.0,1
0.41,31.65,1008.8,70.0,1
0.41,31.64,1008.78,70.0,1
0.41,31.65,1008.78,70.0,1
0.43,31.66,1008.78,70.0,1
0.5,31.67,1008.79,71.0,1
0.57,31.68,1008.78,71.0,1
0.62,31.68,1008.78,71.0,1
0.63,31.68,1008.78,71.0,1
0.63,31.67,1008.8,71.0,1
0.6,31.67,1008.83,71.0,1
0.61,31.67,1008.85,71.0,1
0.6,31.66,1008.85,71.0,1
0.58,31.66,1008.85,71.0,1
0.57,31.66,1008.85,71.0,1
0.57,31.67,1008.84,71.0,1
0.58,31.72,1008.84,71.0,1
0.69,31.75,1008.89,72.0,1
0.68,31.77,1008.92,72.0,1
0.69,31.79,1008.94,72.0,1
0.7,31.8,1008.94,73.0,1
0.7,31.8,1008.93,72.0,1
0.67,31.79,1008.92,71.0,1
0.7,31.76,1008.91,71.0,1
0.67,31.73,1008.88,71.0,1
0.67,31.71,1008.86,71.0,1
0.64,31.67,1008.85,71.0,1
0.63,31.64,1008.83,71.0,1
0.62,31.62,1008.82,71.0,1
0.61,31.6,1008.82,70.0,1
0.61,31.59,1008.82,70.0,1
0.6,31.58,1008.81,70.0,1
0.59,31.57,1008.81,70.0,1
0.59,31.56,1008.81,70.0,1
0.61,31.55,1008.81,70.0,1
0.61,31.54,1008.82,70.0,1
0.6,31.53,1008.82,70.0,1
0.59,31.53,1008.81,70.0,1
0.59,31.53,1008.81,70.0,1
0.57,31.54,1008.81,70.0,1
0.58,31.55,1008.79,70.0,1
0.61,31.56,1008.8,70.0,1
0.68,31.57,1008.81,70.0,1
0.5,31.59,1008.83,71.0,1
0.48,31.6,1008.84,71.0,1
0.66,31.61,1008.85,71.0,1
0.74,31.63,1008.86,71.0,1
0.85,31.65,1008.86,71.0,1
0.9,31.66,1008.86,71.0,1
0.63,31.67,1008.86,71.0,1
0.54,31.68,1008.86,71.0,1
0.42,31.68,1008.85,71.0,1
0.26,31.7,1008.86,71.0,1
0.22,31.72,1008.87,72.0,1
0.22,31.73,1008.87,72.0,1
0.19,31.74,1008.88,72.0,1
0.17,31.74,1008.87,72.0,1
0.17,31.74,1008.87,71.0,1
0.1,31.75,1008.89,71.0,1
0.58,31.73,1008.94,71.0,1
0.55,31.75,1008.95,71.0,1
0.45,31.74,1008.96,71.0,1
0.45,31.74,1008.97,71.0,1
0.39,31.74,1008.98,71.0,1
0.35,31.74,1008.99,71.0,1
0.35,31.73,1008.99,71.0,1
0.37,31.72,1008.99,71.0,1
0.38,31.72,1009.0,71.0,1
0.39,31.72,1008.99,71.0,1
0.41,31.72,1009.0,71.0,1
0.41,31.73,1009.0,71.0,1
0.45,31.73,1009.01,71.0,1
0.41,31.73,1009.01,71.0,1
0.44,31.72,1009.01,71.0,1
0.44,31.72,1009.02,71.0,1
0.45,31.72,1009.02,71.0,1
0.44,31.72,1009.02,71.0,1
0.45,31.71,1009.02,71.0,1
0.46,31.71,1009.03,71.0,1
0.46,31.71,1009.03,71.0,1
0.47,31.71,1009.03,71.0,1
0.48,31.71,1009.03,71.0,1
0.48,31.71,1009.02,71.0,1
0.47,31.72,1009.02,71.0,1
0.48,31.71,1009.02,71.0,1
0.45,31.71,1009.02,71.0,1
0.49,31.7,1009.02,71.0,1
0.5,31.69,1009.02,71.0,1
0.5,31.69,1009.02,71.0,1
0.51,31.68,1009.02,71.0,1
0.49,31.68,1009.02,71.0,1
0.51,31.68,1009.02,71.0,1
0.54,31.67,1009.02,70.0,1
0.55,31.68,1009.03,70.0,1
0.58,31.68,1009.04,70.0,1
0.54,31.68,1009.04,70.0,1
0.56,31.67,1009.04,71.0,1
0.58,31.67,1009.05,71.0,1
0.59,31.67,1009.05,70.0,1
0.58,31.67,1009.05,70.0,1
0.56,31.67,1009.05,70.0,1
0.56,31.67,1009.05,70.0,1
0.57,31.66,1009.04,70.0,1
0.58,31.65,1009.04,70.0,1
0.58,31.65,1009.04,70.0,1
0.61,31.65,1009.05,70.0,1
0.58,31.63,1009.04,70.0,1
0.58,31.62,1009.03,70.0,1
0.61,31.61,1009.04,70.0,1
0.61,31.6,1009.04,70.0,1
0.58,31.59,1009.05,70.0,1
0.59,31.58,1009.06,70.0,1
0.58,31.58,1009.06,70.0,1
0.6,31.58,1009.06,70.0,1
0.61,31.58,1009.07,70.0,1
0.63,31.59,1009.07,70.0,1
0.63,31.59,1009.07,70.0,1
0.62,31.59,1009.08,70.0,1
0.58,31.6,1009.07,70.0,1
0.55,31.6,1009.08,70.0,1
0.57,31.6,1009.08,70.0,1
0.57,31.6,1009.09,71.0,1
0.6,31.6,1009.09,71.0,1
0.59,31.6,1009.09,70.0,1
0.62,31.6,1009.09,70.0,1
0.6,31.6,1009.1,71.0,1
0.57,31.6,1009.11,71.0,1
0.58,31.61,1009.11,71.0,1
0.6,31.61,1009.11,71.0,1
0.62,31.61,1009.11,71.0,1
0.6,31.61,1009.11,70.0,1
0.63,31.6,1009.12,70.0,1
0.61,31.6,1009.14,70.0,1
0.59,31.6,1009.14,70.0,1
0.58,31.6,1009.15,70.0,1
0.58,31.6,1009.16,70.0,1
0.58,31.6,1009.17,70.0,1
0.59,31.59,1009.16,70.0,1
0.61,31.59,1009.16,70.0,1
0.6,31.59,1009.16,70.0,1
0.58,31.59,1009.16,70.0,1
0.6,31.59,1009.17,70.0,1
0.61,31.59,1009.18,70.0,1
0.6,31.59,1009.18,70.0,1
0.6,31.59,1009.18,70.0,1
0.6,31.6,1009.18,70.0,1
0.6,31.6,1009.17,70.0,1
0.58,31.6,1009.18,70.0,1
0.58,31.6,1009.17,70.0,1
0.58,31.6,1009.18,70.0,1
0.57,31.59,1009.18,70.0,1
0.58,31.57,1009.18,70.0,1
0.6,31.57,1009.18,70.0,1
0.6,31.56,1009.18,70.0,1
0.61,31.56,1009.19,70.0,1
0.62,31.56,1009.18,70.0,1
0.61,31.56,1009.19,70.0,1
0.59,31.56,1009.19,70.0,1
0.59,31.56,1009.2,70.0,1
0.6,31.56,1009.2,70.0,1
0.6,31.56,1009.19,70.0,1
0.58,31.56,1009.19,70.0,1
0.56,31.55,1009.19,70.0,1
0.56,31.54,1009.19,70.0,1
0.55,31.53,1009.2,70.0,1
0.54,31.51,1009.19,70.0,1
0.54,31.51,1009.2,70.0,1
0.56,31.5,1009.2,70.0,1
0.55,31.5,1009.21,70.0,1
0.55,31.49,1009.21,70.0,1
0.58,31.49,1009.21,70.0,1
0.59,31.5,1009.21,70.0,1
0.6,31.5,1009.21,70.0,1
0.6,31.51,1009.21,70.0,1
0.61,31.51,1009.22,70.0,1
0.61,31.52,1009.21,70.0,1
0.63,31.52,1009.21,70.0,1
0.62,31.53,1009.22,70.0,1
0.63,31.53,1009.22,70.0,1
0.62,31.53,1009.21,70.0,1
0.61,31.53,1009.22,70.0,1
0.6,31.53,1009.22,70.0,1
0.6,31.53,1009.22,70.0,1
0.62,31.53,1009.22,70.0,1
0.62,31.53,1009.22,70.0,1
0.62,31.53,1009.23,70.0,1
0.62,31.53,1009.23,70.0,1
0.61,31.52,1009.23,70.0,1
0.6,31.53,1009.24,70.0,1
0.58,31.53,1009.24,70.0,1
0.57,31.53,1009.23,70.0,1
0.59,31.53,1009.23,70.0,1
0.59,31.52,1009.23,70.0,1
0.59,31.52,1009.23,70.0,1
0.56,31.52,1009.23,70.0,1
0.58,31.52,1009.23,70.0,1
0.58,31.52,1009.23,70.0,1
0.56,31.51,1009.23,70.0,1
0.58,31.5,1009.23,70.0,1
0.6,31.5,1009.23,70.0,1
0.62,31.5,1009.22,70.0,1
0.59,31.5,1009.23,70.0,1
0.59,31.5,1009.22,70.0,1
0.56,31.5,1009.23,70.0,1
0.58,31.49,1009.23,70.0,1
0.6,31.5,1009.23,70.0,1
0.59,31.49,1009.23,70.0,1
0.59,31.48,1009.23,70.0,1
0.56,31.47,1009.24,70.0,1
0.57,31.47,1009.24,70.0,1
0.58,31.47,1009.25,70.0,1
0.57,31.47,1009.26,70.0,1
0.61,31.48,1009.25,70.0,1
0.58,31.48,1009.25,70.0,1
0.6,31.48,1009.26,70.0,1
0.59,31.48,1009.27,70.0,1
0.61,31.48,1009.26,70.0,1
0.61,31.48,1009.26,70.0,1
0.61,31.49,1009.27,70.0,1
0.61,31.49,1009.28,71.0,1
0.59,31.49,1009.28,71.0,1
0.57,31.49,1009.29,71.0,1
0.59,31.49,1009.29,71.0,1
0.61,31.49,1009.29,70.0,1
0.58,31.49,1009.29,70.0,1
0.63,31.5,1009.29,70.0,1
0.61,31.5,1009.29,70.0,1
0.62,31.49,1009.28,70.0,1
0.6,31.5,1009.28,70.0,1
0.61,31.5,1009.28,70.0,1
0.61,31.5,1009.28,70.0,1
0.59,31.5,1009.28,70.0,1
0.58,31.5,1009.28,71.0,1
0.61,31.51,1009.28,71.0,1
0.6,31.51,1009.29,71.0,1
0.59,31.51,1009.3,71.0,1
0.58,31.51,1009.31,71.0,1
0.6,31.5,1009.31,71.0,1
0.6,31.5,1009.32,71.0,1
0.59,31.5,1009.33,71.0,1
0.61,31.51,1009.33,71.0,1
0.61,31.51,1009.33,71.0,1
0.61,31.51,1009.33,71.0,1
0.61,31.5,1009.33,71.0,1
0.59,31.5,1009.34,71.0,1
0.59,31.51,1009.34,71.0,1
0.59,31.51,1009.34,71.0,1
0.55,31.51,1009.35,71.0,1
0.56,31.5,1009.35,71.0,1
0.57,31.5,1009.34,71.0,1
0.58,31.51,1009.34,71.0,1
0.58,31.52,1009.36,71.0,1
0.55,31.52,1009.35,71.0,1
0.51,31.51,1009.35,71.0,1
0.51,31.5,1009.36,71.0,1
0.51,31.49,1009.37,71.0,1
0.49,31.49,1009.39,71.0,1
0.49,31.48,1009.39,71.0,1
0.48,31.48,1009.39,71.0,1
0.47,31.48,1009.4,71.0,1
0.45,31.48,1009.39,71.0,1
0.43,31.48,1009.4,71.0,1
0.45,31.48,1009.4,71.0,1
0.49,31.5,1009.41,71.0,1
0.44,31.52,1009.4,71.0,1
0.41,31.53,1009.4,71.0,1
0.44,31.54,1009.42,71.0,1
0.48,31.54,1009.43,71.0,1
0.43,31.54,1009.43,71.0,1
0.43,31.55,1009.44,71.0,1
0.43,31.55,1009.43,71.0,1
0.42,31.55,1009.44,71.0,1
0.43,31.56,1009.44,71.0,1
0.43,31.55,1009.44,71.0,1
0.43,31.55,1009.45,71.0,1
0.41,31.55,1009.46,71.0,1
0.4,31.55,1009.46,71.0,1
0.39,31.55,1009.47,71.0,1
0.38,31.54,1009.47,71.0,1
0.39,31.54,1009.46,71.0,1
0.39,31.54,1009.46,71.0,1
0.42,31.54,1009.45,71.0,1
0.41,31.55,1009.46,71.0,1
0.43,31.55,1009.46,71.0,1
0.41,31.55,1009.47,71.0,1
0.4,31.56,1009.47,71.0,1
0.39,31.56,1009.47,71.0,1
0.38,31.56,1009.47,71.0,1
0.44,31.56,1009.47,71.0,1
0.42,31.56,1009.47,71.0,1
0.42,31.56,1009.48,71.0,1
0.4,31.56,1009.48,71.0,1
0.4,31.56,1009.49,71.0,1
0.41,31.56,1009.49,71.0,1
0.41,31.56,1009.48,71.0,1
0.4,31.55,1009.49,71.0,1
0.39,31.53,1009.49,71.0,1
0.37,31.53,1009.49,71.0,1
0.37,31.52,1009.49,71.0,1
0.36,31.52,1009.49,71.0,1
0.36,31.52,1009.49,71.0,1
0.37,31.53,1009.49,71.0,1
0.39,31.53,1009.5,71.0,1
0.44,31.53,1009.5,71.0,1
0.45,31.54,1009.51,71.0,1
0.45,31.54,1009.51,71.0,1
0.43,31.54,1009.5,71.0,1
0.42,31.53,1009.51,71.0,1
0.39,31.53,1009.51,71.0,1
0.37,31.53,1009.5,71.0,1
0.36,31.53,1009.5,71.0,1
0.36,31.53,1009.5,71.0,1
0.37,31.54,1009.5,71.0,1
0.38,31.55,1009.49,71.0,1
0.39,31.55,1009.48,71.0,1
0.4,31.55,1009.49,71.0,1
0.4,31.55,1009.49,71.0,1
0.4,31.55,1009.5,71.0,1
0.43,31.55,1009.5,71.0,1
0.44,31.54,1009.51,71.0,1
0.43,31.53,1009.52,71.0,1
0.44,31.53,1009.53,71.0,1
0.46,31.53,1009.52,71.0,1
0.46,31.53,1009.53,71.0,1
0.5,31.53,1009.53,71.0,1
0.5,31.53,1009.52,71.0,1
0.48,31.53,1009.52,71.0,1
0.47,31.54,1009.52,71.0,1
0.46,31.54,1009.52,71.0,1
0.47,31.55,1009.53,71.0,1
0.46,31.55,1009.53,71.0,1
0.45,31.55,1009.53,71.0,1
0.47,31.55,1009.53,71.0,1
0.51,31.55,1009.53,71.0,1
0.48,31.57,1009.54,71.0,1
0.43,31.6,1009.56,71.0,1
0.41,31.64,1009.58,71.0,1
0.45,31.65,1009.58,73.0,1
0.49,31.66,1009.56,71.0,1
0.54,31.67,1009.55,72.0,1
0.52,31.67,1009.54,71.0,1
0.52,31.68,1009.55,71.0,1
0.52,31.68,1009.55,71.0,1
0.53,31.68,1009.55,71.0,1
0.53,31.68,1009.54,71.0,1
0.51,31.7,1009.55,71.0,1
0.5,31.7,1009.55,71.0,1
0.52,31.69,1009.54,71.0,1
0.52,31.68,1009.53,71.0,1
0.53,31.64,1009.56,71.0,1
0.54,31.64,1009.56,71.0,1
0.54,31.64,1009.55,71.0,1
0.53,31.64,1009.55,71.0,1
0.54,31.64,1009.54,71.0,1
0.53,31.64,1009.54,71.0,1
0.54,31.64,1009.54,71.0,1
0.55,31.64,1009.54,71.0,1
0.56,31.64,1009.54,71.0,1
0.57,31.63,1009.53,71.0,1
0.58,31.63,1009.53,71.0,1
0.6,31.63,1009.54,71.0,1
0.63,31.63,1009.54,71.0,1
0.64,31.63,1009.54,71.0,1
0.65,31.63,1009.53,71.0,1
0.65,31.64,1009.54,70.0,1
0.66,31.64,1009.55,70.0,1
0.66,31.64,1009.55,70.0,1
0.65,31.65,1009.56,71.0,1
0.66,31.65,1009.57,71.0,1
0.65,31.66,1009.58,71.0,1
0.64,31.67,1009.59,71.0,1
0.65,31.67,1009.59,71.0,1
0.65,31.66,1009.59,71.0,1
0.65,31.66,1009.58,71.0,1
0.64,31.67,1009.57,71.0,1
0.63,31.67,1009.57,71.0,1
0.61,31.67,1009.57,71.0,1
0.52,31.68,1009.56,71.0,1
0.48,31.68,1009.56,71.0,1
0.44,31.68,1009.55,70.0,1
0.45,31.67,1009.54,71.0,1
0.49,31.68,1009.54,71.0,1
0.51,31.69,1009.55,71.0,1
0.53,31.7,1009.54,71.0,1
0.54,31.7,1009.55,71.0,1
0.54,31.7,1009.55,71.0,1
0.55,31.7,1009.55,70.0,1
0.56,31.71,1009.55,70.0,1
0.57,31.71,1009.56,70.0,1
0.57,31.7,1009.57,70.0,1
0.58,31.69,1009.57,70.0,1
0.59,31.65,1009.56,70.0,1
0.59,31.64,1009.56,70.0,1
0.61,31.63,1009.56,71.0,1
0.61,31.64,1009.57,71.0,1
0.61,31.64,1009.56,70.0,1
0.61,31.64,1009.56,70.0,1
0.61,31.65,1009.55,70.0,1
0.6,31.65,1009.55,70.0,1
0.6,31.65,1009.56,70.0,1
0.6,31.65,1009.56,70.0,1
0.6,31.66,1009.57,70.0,1
0.6,31.66,1009.56,70.0,1
0.58,31.67,1009.56,70.0,1
0.58,31.67,1009.55,70.0,1
